index,date,source,volume_percent,monthly_rainfall,historical_monthly_rainfall
0,2003-01-31,sistemaCantareira,59.1,410.4,253.0
1,2003-02-28,sistemaCantareira,65.5,101.0,214.2
2,2003-03-31,sistemaCantareira,66.7,103.5,197.3
3,2003-04-30,sistemaCantareira,63.3,41.9,93.8
4,2003-05-31,sistemaCantareira,58.3,45.3,95.1
5,2003-06-30,sistemaCantareira,51.8,12.7,66.9
6,2003-07-31,sistemaCantareira,44.1,28.6,44.4
7,2003-08-31,sistemaCantareira,35.7,23.2,40.6
8,2003-09-30,sistemaCantareira,27.6,28.2,99.7
9,2003-10-31,sistemaCantareira,21.8,153.2,131.4
10,2003-11-30,sistemaCantareira,18.0,148.6,156.0
11,2003-12-31,sistemaCantareira,21.7,197.8,225.8
12,2004-01-31,sistemaCantareira,21.1,157.6,259.6
13,2004-02-29,sistemaCantareira,31.0,255.6,209.0
14,2004-03-31,sistemaCantareira,33.7,105.4,183.4
15,2004-04-30,sistemaCantareira,35.4,127.7,90.2
16,2004-05-31,sistemaCantareira,36.5,127.4,86.0
17,2004-06-30,sistemaCantareira,40.1,83.1,57.2
18,2004-07-31,sistemaCantareira,41.6,88.9,42.4
19,2004-08-31,sistemaCantareira,37.5,0.6,41.3
20,2004-09-30,sistemaCantareira,32.2,47.9,99.7
21,2004-10-31,sistemaCantareira,29.8,165.8,131.4
22,2004-11-30,sistemaCantareira,29.3,204.0,156.0
23,2004-12-31,sistemaCantareira,30.8,155.6,225.8
24,2005-01-31,sistemaCantareira,43.4,282.7,259.6
25,2005-02-28,sistemaCantareira,48.7,136.4,209.0
26,2005-03-31,sistemaCantareira,55.0,250.1,180.7
27,2005-04-30,sistemaCantareira,55.7,20.8,91.0
28,2005-05-31,sistemaCantareira,57.7,142.7,87.6
29,2005-06-30,sistemaCantareira,55.8,40.5,58.1
30,2005-07-31,sistemaCantareira,52.6,30.0,44.1
31,2005-08-31,sistemaCantareira,47.0,8.4,39.2
32,2005-09-30,sistemaCantareira,43.2,153.0,95.3
33,2005-10-31,sistemaCantareira,39.4,155.3,132.8
34,2005-11-30,sistemaCantareira,38.2,150.9,157.3
35,2005-12-31,sistemaCantareira,39.9,202.0,222.5
