index,date,source,storage
0,1/31/2003,sistemaCantareira,42.7
1,2/28/2003,sistemaCantareira,49.1
2,3/31/2003,sistemaCantareira,50.3
3,4/30/2003,sistemaCantareira,46.9
4,5/31/2003,sistemaCantareira,41.9
5,6/30/2003,sistemaCantareira,35.4
6,7/31/2003,sistemaCantareira,27.7
7,8/31/2003,sistemaCantareira,19.3
8,9/30/2003,sistemaCantareira,11.2
9,10/31/2003,sistemaCantareira,5.4
10,11/30/2003,sistemaCantareira,1.6
11,12/31/2003,sistemaCantareira,5.3
12,1/31/2004,sistemaCantareira,4.7
13,2/29/2004,sistemaCantareira,16.4
14,3/31/2004,sistemaCantareira,17.3
15,4/30/2004,sistemaCantareira,19
16,5/31/2004,sistemaCantareira,20.1
17,6/30/2004,sistemaCantareira,23.7
18,7/31/2004,sistemaCantareira,25.2
19,8/31/2004,sistemaCantareira,21.1
20,9/30/2004,sistemaCantareira,32.2
21,10/31/2004,sistemaCantareira,29.8
22,11/30/2004,sistemaCantareira,29.3
23,12/31/2004,sistemaCantareira,30.8
24,1/31/2005,sistemaCantareira,43.4
25,2/28/2005,sistemaCantareira,48.7
26,3/31/2005,sistemaCantareira,55
27,4/30/2005,sistemaCantareira,55.7
28,5/31/2005,sistemaCantareira,57.7
29,6/30/2005,sistemaCantareira,55.8
30,7/31/2005,sistemaCantareira,52.6
31,8/31/2005,sistemaCantareira,47
32,9/30/2005,sistemaCantareira,43.2
33,10/31/2005,sistemaCantareira,39.4
34,11/30/2005,sistemaCantareira,38.2
35,12/31/2005,sistemaCantareira,39.9
36,1/31/2006,sistemaCantareira,44.9
37,2/28/2006,sistemaCantareira,57.4
38,3/31/2006,sistemaCantareira,65.9
39,4/30/2006,sistemaCantareira,67.8
40,5/31/2006,sistemaCantareira,65.3
41,6/30/2006,sistemaCantareira,61.5
42,7/31/2006,sistemaCantareira,57.4
43,8/31/2006,sistemaCantareira,51.6
44,9/30/2006,sistemaCantareira,45.1
45,10/31/2006,sistemaCantareira,39.7
46,11/30/2006,sistemaCantareira,35.4
47,12/31/2006,sistemaCantareira,37.3
48,1/31/2007,sistemaCantareira,49.3
49,2/28/2007,sistemaCantareira,50.8
50,3/31/2007,sistemaCantareira,50.4
51,4/30/2007,sistemaCantareira,49.3
52,5/31/2007,sistemaCantareira,46
53,6/30/2007,sistemaCantareira,43
54,7/31/2007,sistemaCantareira,43.5
55,8/31/2007,sistemaCantareira,39.8
56,9/30/2007,sistemaCantareira,33.9
57,10/31/2007,sistemaCantareira,27.9
58,11/30/2007,sistemaCantareira,31.7
59,12/31/2007,sistemaCantareira,32.6
60,1/31/2008,sistemaCantareira,36.9
61,2/29/2008,sistemaCantareira,43.6
62,3/31/2008,sistemaCantareira,53
63,4/30/2008,sistemaCantareira,60.2
64,5/31/2008,sistemaCantareira,63
65,6/30/2008,sistemaCantareira,63.7
66,7/31/2008,sistemaCantareira,60.5
67,8/31/2008,sistemaCantareira,57.8
68,9/30/2008,sistemaCantareira,52.6
69,10/31/2008,sistemaCantareira,49.3
70,11/30/2008,sistemaCantareira,48.7
71,12/31/2008,sistemaCantareira,50.6
72,1/31/2009,sistemaCantareira,60.4
73,2/28/2009,sistemaCantareira,77.3
74,3/31/2009,sistemaCantareira,86.3
75,4/30/2009,sistemaCantareira,88.2
76,5/31/2009,sistemaCantareira,86.8
77,6/30/2009,sistemaCantareira,84.9
78,7/31/2009,sistemaCantareira,84.1
79,8/31/2009,sistemaCantareira,80.8
80,9/30/2009,sistemaCantareira,80
81,10/31/2009,sistemaCantareira,80.7
82,11/30/2009,sistemaCantareira,81.9
83,12/31/2009,sistemaCantareira,96.5
84,1/31/2010,sistemaCantareira,99.5
85,2/28/2010,sistemaCantareira,94
86,3/31/2010,sistemaCantareira,98.1
87,4/30/2010,sistemaCantareira,99.8
88,5/31/2010,sistemaCantareira,98.9
89,6/30/2010,sistemaCantareira,96.4
90,7/31/2010,sistemaCantareira,94.6
91,8/31/2010,sistemaCantareira,89.2
92,9/30/2010,sistemaCantareira,83.1
93,10/31/2010,sistemaCantareira,77
94,11/30/2010,sistemaCantareira,72.7
95,12/31/2010,sistemaCantareira,75
96,1/31/2011,sistemaCantareira,92.8
97,2/28/2011,sistemaCantareira,86.3
98,3/31/2011,sistemaCantareira,87.3
99,4/30/2011,sistemaCantareira,93.3
100,5/31/2011,sistemaCantareira,92.7
101,6/30/2011,sistemaCantareira,91.2
102,7/31/2011,sistemaCantareira,87.2
103,8/31/2011,sistemaCantareira,81.2
104,9/30/2011,sistemaCantareira,74.1
105,10/31/2011,sistemaCantareira,69.1
106,11/30/2011,sistemaCantareira,68.1
107,12/31/2011,sistemaCantareira,67.2
108,1/31/2012,sistemaCantareira,75.8
109,2/29/2012,sistemaCantareira,76.5
110,3/31/2012,sistemaCantareira,74.2
111,4/30/2012,sistemaCantareira,72.5
112,5/31/2012,sistemaCantareira,71.7
113,6/30/2012,sistemaCantareira,75.3
114,7/31/2012,sistemaCantareira,74
115,8/31/2012,sistemaCantareira,68.3
116,9/30/2012,sistemaCantareira,61.2
117,10/31/2012,sistemaCantareira,55.7
118,11/30/2012,sistemaCantareira,50.1
119,12/31/2012,sistemaCantareira,48.5
120,1/31/2013,sistemaCantareira,52.3
121,2/28/2013,sistemaCantareira,57
122,3/31/2013,sistemaCantareira,62.1
123,4/30/2013,sistemaCantareira,62.8
124,5/31/2013,sistemaCantareira,59.2
125,6/30/2013,sistemaCantareira,56.3
126,7/31/2013,sistemaCantareira,53.4
127,8/31/2013,sistemaCantareira,47.3
128,9/30/2013,sistemaCantareira,40.3
129,10/31/2013,sistemaCantareira,36.8
130,11/30/2013,sistemaCantareira,31.8
131,12/31/2013,sistemaCantareira,27.3
132,1/31/2014,sistemaCantareira,22.2
133,2/28/2014,sistemaCantareira,16.4
134,3/31/2014,sistemaCantareira,13.4
135,4/30/2014,sistemaCantareira,10.7
136,5/31/2014,sistemaCantareira,6.3
137,6/30/2014,sistemaCantareira,2
138,7/31/2014,sistemaCantareira,-3.2
139,8/31/2014,sistemaCantareira,-7.6
140,9/30/2014,sistemaCantareira,-11.7
141,10/31/2014,sistemaCantareira,-16.9
142,11/30/2014,sistemaCantareira,-20.5
143,12/31/2014,sistemaCantareira,-22
144,1/31/2015,sistemaCantareira,-24.2
145,2/28/2015,sistemaCantareira,-17.9
146,3/31/2015,sistemaCantareira,-10.3
147,4/30/2015,sistemaCantareira,-9.3
148,5/31/2015,sistemaCantareira,-9.7
149,6/30/2015,sistemaCantareira,-9.4
150,7/31/2015,sistemaCantareira,-10.6
151,8/31/2015,sistemaCantareira,-13.7
152,9/30/2015,sistemaCantareira,-13
153,10/31/2015,sistemaCantareira,-13.2
154,11/30/2015,sistemaCantareira,-9.8
155,12/31/2015,sistemaCantareira,0.3
156,1/31/2016,sistemaCantareira,16.1
157,2/29/2016,sistemaCantareira,23.7
158,3/31/2016,sistemaCantareira,36.1
159,4/30/2016,sistemaCantareira,36.3
160,5/31/2016,sistemaCantareira,37
161,6/30/2016,sistemaCantareira,47.7
162,7/31/2016,sistemaCantareira,46.8
163,8/31/2016,sistemaCantareira,45.8
164,9/30/2016,sistemaCantareira,43.4
165,10/31/2016,sistemaCantareira,43.1
166,11/30/2016,sistemaCantareira,44.6
167,12/31/2016,sistemaCantareira,46.1
168,1/31/2017,sistemaCantareira,60.1
169,2/28/2017,sistemaCantareira,62.8
170,3/31/2017,sistemaCantareira,65.6
171,4/30/2017,sistemaCantareira,65.2
172,5/31/2017,sistemaCantareira,67.7
173,6/30/2017,sistemaCantareira,67
174,7/31/2017,sistemaCantareira,62.8
175,8/31/2017,sistemaCantareira,58.5
176,9/30/2017,sistemaCantareira,51.6
177,10/31/2017,sistemaCantareira,46.3
178,11/30/2017,sistemaCantareira,44.4
179,12/31/2017,sistemaCantareira,41.3
180,1/31/2018,sistemaCantareira,50
181,2/28/2018,sistemaCantareira,52.4
182,3/31/2018,sistemaCantareira,54.2
183,4/30/2018,sistemaCantareira,51.2
184,5/31/2018,sistemaCantareira,46.3
185,6/30/2018,sistemaCantareira,43.8
186,7/31/2018,sistemaCantareira,39.6
187,8/31/2018,sistemaCantareira,37
188,9/30/2018,sistemaCantareira,33.6
189,10/31/2018,sistemaCantareira,34.5
190,11/30/2018,sistemaCantareira,36
191,12/31/2018,sistemaCantareira,39.5
192,1/31/2019,sistemaCantareira,43.3
193,2/28/2019,sistemaCantareira,47.2
194,3/31/2019,sistemaCantareira,55.2
195,4/30/2019,sistemaCantareira,58.7
