date,source,volume_percent,daily_rainfall,monthly_rainfall,historical_monthly_rainfall
1/1/2003,sistemaCantareira,42.5,0,0,253
1/2/2003,sistemaCantareira,42.3,11.1,11.1,253
1/3/2003,sistemaCantareira,42.3,8.6,19.6,253
1/4/2003,sistemaCantareira,42.3,14.3,33.9,253
1/5/2003,sistemaCantareira,42.4,12.7,46.5,253
1/6/2003,sistemaCantareira,42.4,23.8,70.4,253
1/7/2003,sistemaCantareira,42.5,0,70.4,253
1/8/2003,sistemaCantareira,42.5,0,70.4,253
1/9/2003,sistemaCantareira,42.6,0,70.4,253
1/10/2003,sistemaCantareira,42.3,0,70.4,253
1/11/2003,sistemaCantareira,42.4,25,95.4,253
1/12/2003,sistemaCantareira,42.6,8.3,103.7,253
1/13/2003,sistemaCantareira,43,23.3,127.1,253
1/14/2003,sistemaCantareira,42.9,2.8,129.9,253
1/15/2003,sistemaCantareira,42.8,0,129.9,253
1/16/2003,sistemaCantareira,42.8,0,129.9,253
1/17/2003,sistemaCantareira,43.3,43.4,173.2,253
1/18/2003,sistemaCantareira,44.6,42.6,215.8,253
1/19/2003,sistemaCantareira,45.3,6.4,222.3,253
1/20/2003,sistemaCantareira,46.1,30,252.2,253
1/21/2003,sistemaCantareira,46.7,0,252.2,253
1/22/2003,sistemaCantareira,48.1,49.6,301.9,253
1/23/2003,sistemaCantareira,49.2,18.2,320,253
1/24/2003,sistemaCantareira,50.1,22.2,342.3,253
1/25/2003,sistemaCantareira,51.1,1.1,343.3,253
1/26/2003,sistemaCantareira,52.1,4.1,347.5,253
1/27/2003,sistemaCantareira,53.3,18.5,366,253
1/28/2003,sistemaCantareira,54.4,16.9,382.9,253
1/29/2003,sistemaCantareira,56,18.2,401.1,253
1/30/2003,sistemaCantareira,57.5,4.3,405.3,253
1/31/2003,sistemaCantareira,59.1,5.1,410.4,253
2/1/2003,sistemaCantareira,60.4,10.8,10.8,214.2
2/2/2003,sistemaCantareira,61.1,0.3,11,214.2
2/3/2003,sistemaCantareira,61.5,0,11,214.2
2/4/2003,sistemaCantareira,61.9,0,11,214.2
2/5/2003,sistemaCantareira,62.1,0.5,11.5,214.2
2/6/2003,sistemaCantareira,62.6,0.3,11.9,214.2
2/7/2003,sistemaCantareira,62.9,6.5,18.4,214.2
2/8/2003,sistemaCantareira,63,0.3,18.7,214.2
2/9/2003,sistemaCantareira,63.2,0,18.7,214.2
2/10/2003,sistemaCantareira,63.3,0,18.7,214.2
2/11/2003,sistemaCantareira,63.4,0.3,19,214.2
2/12/2003,sistemaCantareira,63.4,0,19,214.2
2/13/2003,sistemaCantareira,63.2,1.4,20.3,214.2
2/14/2003,sistemaCantareira,63.6,13.7,34,214.2
2/15/2003,sistemaCantareira,63.6,2.6,36.6,214.2
2/16/2003,sistemaCantareira,63.8,8.3,45,214.2
2/17/2003,sistemaCantareira,63.8,3.4,48.3,214.2
2/18/2003,sistemaCantareira,64.7,40.6,89,214.2
2/19/2003,sistemaCantareira,65,5,94,214.2
2/20/2003,sistemaCantareira,65.2,4.3,98.3,214.2
2/21/2003,sistemaCantareira,65.5,0.9,99.2,214.2
2/22/2003,sistemaCantareira,65.6,1.5,100.7,214.2
2/23/2003,sistemaCantareira,65.7,0.3,101,214.2
2/24/2003,sistemaCantareira,65.7,0,101,214.2
2/25/2003,sistemaCantareira,65.7,0,101,214.2
2/26/2003,sistemaCantareira,65.6,0,101,214.2
2/27/2003,sistemaCantareira,65.6,0,101,214.2
2/28/2003,sistemaCantareira,65.5,0,101,214.2
3/1/2003,sistemaCantareira,65.4,0,0,197.3
3/2/2003,sistemaCantareira,65.3,0,0,197.3
3/3/2003,sistemaCantareira,65.1,0,0,197.3
3/4/2003,sistemaCantareira,65.1,7.1,7.1,197.3
3/5/2003,sistemaCantareira,65,0,7.1,197.3
3/6/2003,sistemaCantareira,65.1,7.8,14.9,197.3
3/7/2003,sistemaCantareira,65.3,10.7,25.6,197.3
3/8/2003,sistemaCantareira,65.3,8.2,33.9,197.3
3/9/2003,sistemaCantareira,65.5,12.2,46.1,197.3
3/10/2003,sistemaCantareira,65.6,2,48.1,197.3
3/11/2003,sistemaCantareira,65.7,10.2,58.2,197.3
3/12/2003,sistemaCantareira,65.8,4.3,62.5,197.3
3/13/2003,sistemaCantareira,66,5.7,68.2,197.3
3/14/2003,sistemaCantareira,66.1,3.3,71.5,197.3
3/15/2003,sistemaCantareira,66.3,0,71.5,197.3
3/16/2003,sistemaCantareira,66.4,0,71.5,197.3
3/17/2003,sistemaCantareira,66.3,1.6,73.1,197.3
3/18/2003,sistemaCantareira,66.4,2.7,75.8,197.3
3/19/2003,sistemaCantareira,66.4,0,75.8,197.3
3/20/2003,sistemaCantareira,66.4,4.2,80.1,197.3
3/21/2003,sistemaCantareira,66.6,12.4,92.4,197.3
3/22/2003,sistemaCantareira,66.9,8.2,100.7,197.3
3/23/2003,sistemaCantareira,66.9,0,100.7,197.3
3/24/2003,sistemaCantareira,67,0,100.7,197.3
3/25/2003,sistemaCantareira,67,0,100.7,197.3
3/26/2003,sistemaCantareira,67,0,100.7,197.3
3/27/2003,sistemaCantareira,66.9,0,100.7,197.3
3/28/2003,sistemaCantareira,66.9,2.8,103.5,197.3
3/29/2003,sistemaCantareira,66.9,0,103.5,197.3
3/30/2003,sistemaCantareira,66.8,0,103.5,197.3
3/31/2003,sistemaCantareira,66.7,0,103.5,197.3
