DATE, NORMAL-LEVEL,RES-LEVEL,AF,CHANGE-ACRE-FEET,STORED,DRAWDOWN,OUTFLOW,SUPPLY,INFLOW,
1984-01-01,   250.10,  250.95,    119155., -1325.,       0,   -668.0,   1220.0,    40.0,    592.0,
1984-01-02,   250.10,  250.85,    117994., -1161.,       0,   -585.0,   1210.0,    38.0,    663.0,
1984-01-03,   250.10,  250.68,    116020., -1974.,       0,   -995.0,   1180.0,    43.0,    228.0,
1984-01-04,   250.10,  250.55,    114511., -1509.,       0,   -761.0,   1180.0,    38.0,    457.0,
1984-01-05,   250.10,  250.40,    112770., -1741.,       0,   -878.0,   1180.0,    36.0,    338.0,
1984-01-06,   250.10,  250.31,    111725., -1045.,       0,   -527.0,    967.0,    39.0,    479.0,
1984-01-07,   250.10,  250.21,    110565., -1160.,       0,   -585.0,    840.0,    35.0,    290.0,
1984-01-08,   250.10,  250.10,    109288., -1277.,       0,   -644.0,    840.0,    34.0,    230.0,
1984-01-09,   250.10,  250.05,    108707.,  -581.,       0,   -293.0,    565.0,    34.0,    306.0,
1984-01-10,   250.10,  250.80,    117413.,  8706.,  4389.0,        0,    500.0,    33.0,   4922.0,
1984-01-11,   250.10,  252.86,    143443., 26030., 13124.0,        0,    459.0,    34.0,  13617.0,
1984-01-12,   250.10,  253.40,    150758.,  7315.,  3688.0,        0,   1586.0,    39.0,   5313.0,
1984-01-13,   250.10,  253.15,    147335., -3423.,       0,  -1726.0,   3142.0,    39.0,   1455.0,
1984-01-14,   250.10,  252.83,    143049., -4286.,       0,  -2161.0,   3620.0,    34.0,   1493.0,
1984-01-15,   250.10,  252.50,    138713., -4336.,       0,  -2186.0,   3612.0,    36.0,   1462.0,
1984-01-16,   250.10,  252.05,    132801., -5912.,       0,  -2981.0,   3801.0,    38.0,    858.0,
1984-01-17,   250.10,  251.70,    128421., -4380.,       0,  -2208.0,   3355.0,    40.0,   1187.0,
1984-01-18,   250.10,  251.65,    127801.,  -620.,       0,   -313.0,   2551.0,    39.0,   2277.0,
1984-01-19,   250.10,  252.65,    140684., 12883.,  6495.0,        0,   1920.0,    40.0,   8455.0,
1984-01-20,   250.10,  252.79,    142523.,  1839.,   927.0,        0,   2180.0,    42.0,   3149.0,
1984-01-21,   250.10,  252.45,    138056., -4467.,       0,  -2252.0,   3438.0,    43.0,   1229.0,
1984-01-22,   250.10,  252.05,    132801., -5255.,       0,  -2649.0,   3597.0,    38.0,    986.0,
1984-01-23,   250.10,  251.60,    127180., -5621.,       0,  -2834.0,   3578.0,    42.0,    786.0,
1984-01-24,   250.10,  251.25,    122837., -4343.,       0,  -2190.0,   3235.0,    42.0,   1087.0,
1984-01-25,   250.10,  251.20,    122217.,  -620.,       0,   -313.0,   2452.0,    41.0,   2180.0,
1984-01-26,   250.10,  250.95,    119155., -3062.,       0,  -1544.0,   2195.0,    43.0,    694.0,
1984-01-27,   250.10,  250.79,    117297., -1858.,       0,   -937.0,   1911.0,    43.0,   1017.0,
1984-01-28,   250.10,  250.65,    115672., -1625.,       0,   -819.0,   1515.0,    38.0,    734.0,
1984-01-29,   250.10,  250.55,    114511., -1161.,       0,   -585.0,   1235.0,    37.0,    687.0,
1984-01-30,   250.10,  250.50,    113931.,  -580.,       0,   -292.0,   1010.0,    41.0,    759.0,
1984-01-31,   250.10,  250.40,    112770., -1161.,       0,   -585.0,   1010.0,    42.0,    467.0,
1984-02-01,   250.10,  250.30,    111609., -1161.,       0,   -585.0,   1009.0,    43.0,    467.0,
1984-02-02,   250.10,  250.25,    111029.,  -580.,       0,   -292.0,    796.0,    40.0,    544.0,
1984-02-03,   250.10,  250.25,    111029.,     0.,     0.0,        0,    440.0,    40.0,    480.0,
1984-02-04,   250.10,  250.41,    112886.,  1857.,   936.0,        0,    325.0,    41.0,   1302.0,
1984-02-05,   250.10,  250.59,    114976.,  2090.,  1054.0,        0,    327.0,    43.0,   1424.0,
1984-02-06,   250.10,  250.68,    116020.,  1044.,   526.0,        0,    993.0,    39.0,   1558.0,
1984-02-07,   250.10,  250.40,    112770., -3250.,       0,  -1639.0,   2059.0,    43.0,    463.0,
1984-02-08,   250.10,  250.15,    109868., -2902.,       0,  -1463.0,   2039.0,    40.0,    616.0,
1984-02-09,   250.10,  249.95,    107586., -2282.,       0,  -1151.0,   1818.0,    40.0,    707.0,
1984-02-10,   250.10,  249.90,    107046.,  -540.,       0,   -272.0,   1293.0,    43.0,   1064.0,
1984-02-11,   250.10,  250.06,    108823.,  1777.,   896.0,        0,    496.0,    38.0,   1430.0,
1984-02-12,   250.10,  250.17,    110100.,  1277.,   644.0,        0,    496.0,    36.0,   1176.0,
1984-02-13,   250.10,  250.25,    111029.,   929.,   468.0,        0,    497.0,    40.0,   1005.0,
1984-02-14,   250.10,  251.20,    122217., 11188.,  5641.0,        0,    398.0,    33.0,   6072.0,
1984-02-15,   250.10,  253.20,    148020., 25803., 13009.0,        0,   1029.0,    40.0,  14078.0,
1984-02-16,   250.10,  253.20,    148020.,     0.,     0.0,        0,   2073.0,    40.0,   2113.0,
1984-02-17,   250.10,  252.87,    143574., -4446.,       0,  -2242.0,   3301.0,    40.0,   1099.0,
1984-02-18,   250.10,  252.42,    137662., -5912.,       0,  -2981.0,   3781.0,    41.0,    841.0,
1984-02-19,   250.10,  251.96,    131648., -6014.,       0,  -3032.0,   3765.0,    38.0,    771.0,
1984-02-20,   250.10,  251.46,    125443., -6205.,       0,  -3128.0,   3745.0,    39.0,    656.0,
1984-02-21,   250.10,  251.05,    120355., -5088.,       0,  -2565.0,   3191.0,    42.0,    668.0,
1984-02-22,   250.10,  250.67,    115904., -4451.,       0,  -2244.0,   2836.0,    41.0,    633.0,
1984-02-23,   250.10,  251.60,    127180., 11276.,  5685.0,        0,   1434.0,    42.0,   7161.0,
1984-02-24,   250.10,  253.00,    145282., 18102.,  9126.0,        0,   2126.0,    40.0,  11292.0,
1984-02-25,   250.10,  252.95,    144625.,  -657.,       0,   -331.0,   3309.0,    40.0,   3018.0,
1984-02-26,   250.10,  252.65,    140684., -3941.,       0,  -1987.0,   3443.0,    40.0,   1496.0,
1984-02-27,   250.10,  252.86,    143443.,  2759.,  1391.0,        0,   2058.0,    40.0,   3489.0,
1984-02-28,   250.10,  253.45,    151442.,  7999.,  4033.0,        0,    479.0,    40.0,   4552.0,
1984-02-29,   250.10,  253.75,    155549.,  4107.,  2071.0,        0,   1904.0,    40.0,   4015.0,
1984-03-01,   250.10,  253.35,    150073., -5476.,       0,  -2761.0,   3801.0,    40.0,   1080.0,
1984-03-02,   250.10,  252.85,    143311., -6762.,       0,  -3409.0,   4311.0,    43.0,    945.0,
1984-03-03,   250.10,  252.36,    136874., -6437.,       0,  -3245.0,   4488.0,    38.0,   1281.0,
1984-03-04,   250.10,  251.80,    129662., -7212.,       0,  -3636.0,   4452.0,    40.0,    856.0,
1984-03-05,   250.10,  251.93,    131275.,  1613.,   813.0,        0,   3249.0,    39.0,   4101.0,
1984-03-06,   250.10,  254.20,    161806., 30531., 15393.0,        0,   2070.0,    37.0,  17500.0,
1984-03-07,   250.10,  255.55,    181257., 19451.,  9807.0,        0,   3179.0,    41.0,  13027.0,
1984-03-08,   250.10,  255.40,    179044., -2213.,       0,  -1116.0,   4409.0,    40.0,   3333.0,
1984-03-09,   250.10,  255.05,    173882., -5162.,       0,  -2603.0,   4488.0,    35.0,   1920.0,
