observedStorage,observedOutflow,observedWaterSupply,elevationEnd,observedInflow,storage,outflow,totalWaterSupply,waterSupply,elevation,totalIndoor,totalOutdoor,numOfHouseholds,population,shiftFactor,inflow,deficit,reliability,resilience,sumDeficit,nonzerodeficit,maxDeficit,averageDemand,sustainabilityindex
194778.610664865,0.0,0.0,0.0,69464.52066486499,128070.74936948625,61487.603305785095,5220.257989593938,5220.257989593938,251.22215000157033,9.345048138360919E8,1.9141880989678153E8,124159.0,331582.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
241523.02914562187,0.0,0.0,0.0,46744.41848075685,115343.03685450318,55537.19008264461,3934.9409130954946,3934.9409130954946,250.1417088951157,8.440688641097513E8,4633046.959092719,124159.0,331582.0,0.999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
284195.8885719819,0.0,0.0,0.0,42672.859426360046,109915.69336626733,43636.36363636363,4463.839278232369,4463.839278232369,249.65093529698208,9.372994215944884E8,2.5477151119474053E7,124666.0,332937.0,0.998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
381428.18074125674,0.0,0.0,0.0,97232.29216927482,142944.2822442286,59504.13223140493,4699.57105990886,4699.57105990886,252.39685661776744,9.096246127703018E8,1.0399542062576208E8,125174.0,334228.0,0.997,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
487417.2685325083,0.0,0.0,0.0,105989.08779125153,123114.42978524642,120991.73553719006,4827.204713043685,4827.204713043685,250.81119484710945,9.423791664428232E8,9.876934266206735E7,125681.0,335416.0,0.996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
527980.8324701037,0.0,0.0,0.0,40563.56393759545,123134.17750295335,35702.479338842975,4841.336881045557,4841.336881045557,250.81289606331438,9.14489552329338E8,1.2970703252704087E8,126189.0,336680.0,0.995,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
545507.7131990719,0.0,0.0,0.0,17526.8807289682,123121.82828194204,11900.826446280991,5638.403503698512,5638.403503698512,250.81183220898882,9.476103619438375E8,2.685003585601829E8,126696.0,337966.0,0.994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
555708.8109736725,0.0,0.0,0.0,10201.097774600667,121957.8223126314,5950.413223140496,5414.690520770808,5414.690520770808,250.71155602279734,9.501775710636184E8,2.176819455883135E8,127204.0,339222.0,0.993,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
564454.7411197554,0.0,0.0,0.0,8745.930146082866,120222.26539155038,5950.413223140496,4531.0738440234045,4531.0738440234045,250.562042159851,9.222176905316805E8,5.50602700641416E7,127711.0,340575.0,0.992,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
661653.427454241,0.0,0.0,0.0,97198.6863344855,151251.9817121019,61487.603305785095,4681.366708149154,4681.366708149154,253.02762011192212,9.556389541265272E8,5.405470058725202E7,128219.0,341882.0,0.991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
802319.0832112201,0.0,0.0,0.0,140665.65575697913,193556.21062239513,93223.14049586785,5138.286350818319,5138.286350818319,256.00343865506164,9.274374443876607E8,1.8080624766884488E8,128726.0,343202.0,0.99,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
873505.7748536594,0.0,0.0,0.0,71186.69164243937,176081.79099268102,83305.78512396695,5355.32614818664,5355.32614818664,254.8123940586101,9.611365583230946E8,1.939190414283042E8,129234.0,344560.0,0.989,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
934193.6298310158,0.0,0.0,0.0,60687.85497735644,164642.19309432275,67438.01652892558,4689.436346789368,4689.436346789368,254.005253869634,9.639122773766351E8,4.752186541157386E7,129741.0,345912.0,0.988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
978650.6425583188,0.0,0.0,0.0,44457.01272730297,148576.22145533434,55537.19008264461,4985.79428364702,4985.79428364702,252.82553215522412,8.730116397049683E8,2.0234202638030994E8,130249.0,347197.0,0.987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
990016.4887405261,0.0,0.0,0.0,11365.846182207315,108271.96528266455,45619.834710743795,6050.267644133398,6050.267644133398,249.49892123209696,9.692603093923707E8,3.356827190949255E8,130756.0,348519.0,0.986,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1010328.2198568168,0.0,0.0,0.0,20311.731116290714,109477.62427562027,13884.297520661159,5221.774602673808,5221.774602673808,249.61042211001762,9.406853979157304E8,1.8556533426360402E8,131264.0,349874.0,0.985,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1094148.347597587,0.0,0.0,0.0,83820.1277407701,122267.09955157447,65454.54545454545,5576.107010270476,5576.107010270476,250.73819947894336,9.747462189829426E8,2.2792817447122467E8,131771.0,351192.0,0.984,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1110136.656494343,0.0,0.0,0.0,15988.308896756082,121102.81163094079,11900.826446280991,5251.770371108786,5251.770371108786,250.63789900335465,9.457697405081995E8,1.8695058462359262E8,132279.0,352435.0,0.983,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1137476.1265352417,0.0,0.0,0.0,27339.470040898846,125621.04002699631,17851.239669421488,4970.001975421849,4970.001975421849,251.02473608082815,9.799910401449188E8,9.195648529646292E7,132786.0,353748.0,0.982,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1206605.7923748866,0.0,0.0,0.0,69129.6658396448,123857.33588419226,65454.54545454545,5438.824527903424,5438.824527903424,250.87519433874849,9.82660245125085E8,1.9040457916187543E8,133294.0,355046.0,0.981,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1269681.0583926209,0.0,0.0,0.0,63075.26601773431,122687.31886624345,59504.132231404954,4741.150804278165,4741.150804278165,250.77440031583765,9.535651185408537E8,6.902298052374396E7,133801.0,356359.0,0.98,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1282066.332934862,0.0,0.0,0.0,12385.274542241066,108479.91359344074,21818.181818181823,4774.497996861957,4774.497996861957,249.51815255650058,9.880643809248438E8,4.171615805311725E7,134309.0,357683.0,0.979,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1322768.1588431264,0.0,0.0,0.0,40701.825908264414,108739.8585019754,35702.47933884298,4739.401660886834,4739.401660886834,249.54219259243274,9.587379289334985E8,6.347290872572424E7,134816.0,358965.0,0.978,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1354100.7566306742,0.0,0.0,0.0,31332.597787547747,107292.97939844443,25785.123966942156,6994.352924136555,6994.352924136555,249.40838337172335,9.933173522305658E8,5.1524931357373035E8,135324.0,360242.0,0.977,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1423070.39740408,0.0,0.0,0.0,68969.64077340589,105037.43426540449,61487.603305785095,9737.58260066089,9737.58260066089,249.19978768754316,9.959918993104099E8,1.1042442020412562E9,135831.0,361549.0,0.976,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1584116.1629444042,0.0,0.0,0.0,161045.76554032415,184242.71045896562,77355.37190082645,4485.117445936634,4485.117445936634,255.37262443789598,9.019876478249409E8,6.537827501941453E7,136339.0,362832.0,0.975,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1698923.1147403717,0.0,0.0,0.0,114806.95179596754,193976.37655099807,99173.55371900833,5899.7319849270425,5899.7319849270425,256.0306885369348,1.001194600257479E9,2.7128036721460944E8,136846.0,364082.0,0.974,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1767754.925272444,0.0,0.0,0.0,68831.81053207227,177943.94805886474,79338.84297520661,5525.3960489990895,5525.3960489990895,254.94378170174733,9.715028101913571E8,2.2023406458285907E8,137354.0,365389.0,0.973,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1816660.191650361,0.0,0.0,0.0,48905.266377917105,124700.90427643532,97190.08264462808,4958.2275157184595,4958.2275157184595,250.9478656337384,1.0066227043932483E9,6.2785264123500995E7,137861.0,366720.0,0.972,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1863717.9437211643,0.0,0.0,0.0,47057.752070803304,124727.09081876636,41652.89256198347,5378.672966488806,5378.672966488806,250.9501215384878,9.766832844153723E8,1.8340783931175154E8,138369.0,367993.0,0.971,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1958890.2903478006,0.0,0.0,0.0,95172.34662663634,125637.23143899954,89256.19834710743,5006.007659295729,5006.007659295729,251.0260408928197,1.0119725160416107E9,6.774084207626759E7,138876.0,369326.0,0.97,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1967296.6221642566,0.0,0.0,0.0,8406.331816456051,120687.4713659777,5950.413223140496,7405.678666337404,7405.678666337404,250.60211848431925,1.01468731632461E9,5.825955338362396E8,139384.0,370651.0,0.969,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2069858.5473859673,0.0,0.0,0.0,102561.92522171082,122410.34408025976,95206.61157024793,5632.440937180865,5632.440937180865,250.75053963475705,9.844996366732956E8,2.3032505648780826E8,139891.0,371931.0,0.968,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2109661.1097491668,0.0,0.0,0.0,39802.56236319952,109589.23657577348,47603.30578512396,5020.364082561941,5020.364082561941,249.62074415756715,1.0199574161754291E9,6.285238585962049E7,140399.0,373216.0,0.967,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2217603.65296999,0.0,0.0,0.0,107942.54322082331,152446.02581896013,59504.13223140493,5581.621746232012,5581.621746232012,253.11484665198043,9.897374299558376E8,2.14126401168901E8,140906.0,374564.0,0.966,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2277326.3939809357,0.0,0.0,0.0,59722.741010945945,145235.0727646968,61487.603305785095,5446.0907594245,5446.0907594245,252.57122033526386,1.0254469914820153E9,1.491850392018354E8,141414.0,375888.0,0.965,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
