,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
0,1,1,1,3.3166599999999997,50.4780546352097,-7783.0070596633595,31415.2886525259,-7.61883786192137,53.8530149316786,-6176.43413568033,25366.6521866116,5008.41928293637,5811.96822202218,-4.22809212106482,-1.99424288797248
1,2,2,1,3.3166599999999997,47.744374834529296,-2176.54780229272,31415.2886525259,3.29447326360492,53.8530149316782,-1925.7276557368102,25366.6521866116,5018.54662944101,5811.96822202218,-3.80446026975011,-1.99424288797246
2,3,3,1,3.3294699999999997,29.0614542004077,3429.9114550779304,31415.288652526,14.2077843891312,53.8530149316782,2324.97882420671,25366.6521866116,5028.67397594565,5811.96822202218,-3.38082841843539,-1.99424288797246
3,4,4,1,3.34234,28.0647762217562,8540.38769376542,31415.288652526,24.1434499145008,53.8530149316782,6277.380836474251,25366.6521866116,5042.85652321092,5811.96822202218,-2.99807355551098,-1.99424288797246
4,5,5,1,3.3552,79.4532366622944,13650.863932452901,31415.288652526,34.0791154398704,53.8530149316782,10229.782848741801,25366.6521866116,5057.039070476189,5811.96822202218,-2.61531869258656,-1.99424288797246
5,6,6,1,3.36804,86.5375444195591,18636.3375480311,31415.288652526,43.431218133850095,53.8530149316782,14061.5033920346,25366.6521866116,5067.76051974867,5811.96822202218,-2.25973209643702,-1.99424288797246
6,7,7,1,3.38078,58.6784285869857,23621.8111636093,31415.288652526,52.783320827829705,53.8530149316782,17893.2239353274,25366.6521866116,5078.48196902115,5811.96822202218,-1.9041455002874899,-1.99424288797246
7,8,8,1,3.39344,40.445110741367394,28461.1385006281,31415.288652526,62.1627471433803,53.8530149316782,21832.153238780902,25366.6521866116,5084.39433730364,5811.96822202218,-1.54963636078876,-1.99424288797246
8,9,9,1,3.4059699999999995,15.6609881398315,33300.4658376469,31415.288652526,71.5421734589309,53.8530149316782,25771.0825422344,25366.6521866116,5090.30670558613,5811.96822202218,-1.1951272212900301,-1.99424288797246
9,10,10,1,3.4189800000000004,48.714510594829996,34404.571477506805,31415.288652526,75.9726477164924,53.8530149316782,27991.3762614945,25366.6521866116,5118.88876918649,5811.96822202218,-1.03198020893806,-1.99424288797246
